"","V1"
"7SK",0
"A1BG",18.7292857142857
"A1BG-AS1",3.78642857142857
"A1CF",0.085
"A2M",0.329285714285714
"A2ML1",0.861428571428571
"A2ML1-AS1",0
"A2ML1-AS2",0
"A4GALT",2.25357142857143
"AAAS",61.2692857142857
"AACS",14.485
"AACSP1",1.12428571428571
"AADAC",4.46428571428571
"AADAT",3.69428571428571
"AAED1",5.21714285714286
"AAGAB",37.3914285714286
"AAK1",4.89428571428571
"AAMDC",13.0107142857143
"AAMP",67.0728571428571
"AAR2",21.6978571428571
"AARD",0.197857142857143
"AARS",119.245
"AARS2",8.20071428571429
"AARSD1",46.8907142857143
"AASDH",8.50071428571428
"AASDHPPT",30.205
"AASS",20.0635714285714
"AATF",33.1721428571429
"AB015752.3",0.0242857142857143
"AB019441.29",0.827857142857143
"ABAT",2.52571428571429
"ABC7-42389800N19.1",9.86
"ABC7-43041300I9.1",0.0392857142857143
"ABCA1",2.57928571428571
"ABCA10",0.583571428571429
"ABCA11P",1.85785714285714
"ABCA12",0.754285714285714
"ABCA13",0.252142857142857
"ABCA17P",0.397142857142857
"ABCA2",10.9107142857143
"ABCA3",5.29785714285714
"ABCA5",6.59
"ABCA6",5.62214285714286
"ABCA7",18.5514285714286
"ABCA8",1.74214285714286
"ABCA9",0.449285714285714
"ABCA9-AS1",0.0728571428571429
"ABCB1",1.75857142857143
"ABCB10",14.1278571428571
"ABCB10P1",0.971428571428572
"ABCB10P3",4.40142857142857
"ABCB10P4",8.40571428571429
"ABCB4",1.18785714285714
"ABCB5",0
"ABCB6",21.285
"ABCB7",23.735
"ABCB8",22.1442857142857
"ABCB9",3.34285714285714
"ABCC1",26.9007142857143
"ABCC10",10.7942857142857
"ABCC13",0.0635714285714286
"ABCC2",40.4907142857143
"ABCC3",43.875
"ABCC4",20.3264285714286
"ABCC5",18.4185714285714
"ABCC6",0.884285714285714
"ABCC6P1",0.316428571428571
"ABCC6P2",0.383571428571429
"ABCC9",0.173571428571429
"ABCD1",2.66571428571429
"ABCD2",1.44428571428571
"ABCD3",13.9214285714286
"ABCD4",18.5535714285714
"ABCE1",84.2507142857143
"ABCF1",38.0407142857143
"ABCF2",46.1757142857143
"ABCF2P1",0.00214285714285714
"ABCF3",39.4957142857143
"ABCG1",3.45714285714286
"ABCG2",7.20642857142857
"ABCG5",0
"ABHD10",20.3907142857143
"ABHD11",16.1385714285714
"ABHD12",24.2785714285714
"ABHD12B",0.365
"ABHD13",4.47285714285714
"ABHD14A",6.94571428571429
"ABHD14A-ACY1",0.557857142857143
"ABHD14B",43.7307142857143
"ABHD15",3.64642857142857
"ABHD16A",42.2178571428571
"ABHD17A",44.3857142857143
"ABHD17AP3",0.0621428571428571
"ABHD17B",12.1592857142857
"ABHD17C",7.23071428571428
"ABHD2",26
"ABHD3",16.8521428571429
"ABHD4",24.0057142857143
"ABHD5",17.6907142857143
"ABHD6",6.58428571428571
"ABHD8",5.795
"ABI1",29.2028571428571
"ABI2",25.2228571428571
"ABI3",11.6635714285714
"ABI3BP",2.48357142857143
"ABL1",26.4707142857143
"ABL2",5.16357142857143
"ABLIM1",19.9942857142857
"ABLIM3",6.88214285714286
"ABO",1.26285714285714
"ABR",28.8871428571429
"ABRACL",57.7792857142857
"ABT1",30.05
"ABT1P1",0
"ABTB1",6.35642857142857
"ABTB2",2.56071428571429
"AC000003.2",0
"AC000032.2",0
"AC000041.8",1.47928571428571
"AC000068.10",0.181428571428571
"AC000068.5",0.712142857142857
"AC000089.3",0.636428571428571
"AC000110.1",0.01
"AC000120.7",0.817857142857143
"AC000123.4",0
"AC000367.1",0
"AC002044.4",0
"AC002055.4",16.0292857142857
"AC002056.3",0.474285714285714
"AC002066.1",0.340714285714286
"AC002066.2",0
"AC002069.5",0.00357142857142857
"AC002075.4",0.555714285714286
"AC002116.7",2.10714285714286
"AC002117.1",0.69
"AC002306.1",0.005
"AC002310.10",0.00642857142857143
"AC002310.12",2.55857142857143
"AC002310.17",0
"AC002310.7",0.326428571428571
"AC002314.4",0.015
"AC002366.3",0.0557142857142857
"AC002395.1",0
"AC002398.11",0.0285714285714286
"AC002398.13",0
"AC002398.9",3.46714285714286
"AC002429.5",0
"AC002451.1",0.00642857142857143
"AC002454.1",0.944285714285714
"AC002456.2",0.765
"AC002467.7",5.48071428571428
"AC002472.1",0.422142857142857
"AC002472.11",0.00357142857142857
"AC002472.13",0.0128571428571429
"AC002477.1",0
"AC002480.2",0.664285714285714
"AC002480.3",0.613571428571428
"AC002480.4",0.217857142857143
"AC002480.5",1.52785714285714
"AC002511.1",1.80357142857143
"AC002519.6",0.00357142857142857
"AC002519.8",0.0407142857142857
"AC002539.1",0.852857142857143
"AC002543.2",0
"AC002550.5",0.00571428571428571
"AC002551.1",0.0442857142857143
"AC002558.1",0
"AC002979.1",0
"AC003002.4",0.0521428571428571
"AC003002.6",0.382142857142857
"AC003003.5",0.0164285714285714
"AC003006.7",0.280714285714286
"AC003029.1",0.252857142857143
"AC003035.1",0
"AC003051.1",0.00785714285714286
"AC003075.4",0.315714285714286
"AC003079.1",0
"AC003080.4",0.0178571428571429
"AC003092.1",1.08642857142857
"AC003102.1",0.0257142857142857
"AC003102.3",0.212142857142857
"AC003104.1",7.26142857142857
"AC003664.1",0
"AC003665.1",1.19357142857143
"AC003973.6",0
"AC003984.1",0.000714285714285714
"AC003989.3",0
"AC003991.3",0.0814285714285714
"AC004014.4",0.00357142857142857
"AC004017.1",0.636428571428571
"AC004019.10",0.0307142857142857
"AC004019.13",0.015
"AC004019.18",1.335
"AC004041.2",0.108571428571429
"AC004053.1",0.00785714285714286
"AC004057.1",1255.19142857143
"AC004063.1",0.00285714285714286
"AC004066.2",0
"AC004069.2",0.747142857142857
"AC004074.3",0.837857142857143
"AC004076.7",0.00928571428571429
"AC004129.9",0
"AC004156.3",0.0407142857142857
"AC004158.2",3.14785714285714
"AC004158.3",0
"AC004160.4",0
"AC004166.6",0.00214285714285714
"AC004257.1",0
"AC004257.3",1.72857142857143
"AC004381.6",10.91
"AC004386.4",0
"AC004447.2",0.005
"AC004448.5",0.00142857142857143
"AC004453.8",17.3692857142857
"AC004463.6",7.48428571428572
"AC004466.1",0.396428571428571
"AC004471.10",0.0185714285714286
"AC004471.9",0.00285714285714286
"AC004490.1",0.00428571428571429
"AC004492.1",0
"AC004510.3",0.00428571428571429
"AC004528.4",0
"AC004540.4",0.0521428571428572
"AC004540.5",0.697857142857143
"AC004552.1",0
"AC004623.2",0
"AC004656.1",0
"AC004692.5",0.01
"AC004702.2",0
"AC004797.1",19.5242857142857
"AC004812.1",0
"AC004824.2",0
"AC004840.9",0.512142857142857
"AC004854.4",0.0207142857142857
"AC004878.3",0.226428571428571
"AC004878.5",0.00357142857142857
"AC004878.6",0.000714285714285714
"AC004878.7",0.0142857142857143
"AC004878.8",0
"AC004889.1",0.507857142857143
"AC004893.11",0.992857142857143
"AC004895.1",0
"AC004895.4",0.065
"AC004899.1",0.000714285714285714
"AC004899.3",0
"AC004938.5",0
"AC004941.3",0.000714285714285714
"AC004951.5",0.045
"AC004951.6",1.08214285714286
"AC004967.7",0.227142857142857
"AC004980.10",0.0507142857142857
"AC004980.11",0
"AC004980.7",2.86857142857143
"AC004980.9",0.162857142857143
"AC004987.9",0.602857142857143
"AC004988.1",0.000714285714285714
"AC005000.1",0.0171428571428571
"AC005003.1",1.04285714285714
"AC005007.3",0
"AC005014.5",0.0107142857142857
"AC005017.2",0
"AC005019.2",0
"AC005037.2",0
"AC005037.3",0.586428571428571
"AC005042.4",0.00357142857142857
"AC005062.2",1.99
"AC005076.5",1.855
"AC005077.12",0.132142857142857
"AC005077.7",0.00928571428571429
"AC005082.1",0
"AC005083.1",8.75642857142857
"AC005086.2",0
"AC005086.3",0
"AC005104.3",0.00428571428571429
"AC005150.1",0.06
"AC005154.6",28.1585714285714
"AC005154.7",0.612142857142857
"AC005159.1",0
"AC005162.4",0
"AC005176.2",0.0235714285714286
"AC005189.6",0.0292857142857143
"AC005197.2",0
"AC005224.2",0.465714285714286
"AC005229.1",0
"AC005229.7",0
"AC005253.2",0.00857142857142857
"AC005253.4",0
"AC005255.3",3.69142857142857
"AC005256.1",0.457142857142857
"AC005262.2",0
"AC005262.4",0
"AC005264.2",0.0592857142857143
"AC005276.1",0.0792857142857143
"AC005280.1",4.87285714285714
"AC005300.5",0
"AC005307.1",5.04071428571429
"AC005307.3",25.2607142857143
"AC005326.2",0
"AC005329.7",0.539285714285714
"AC005339.2",0.111428571428571
"AC005351.1",0.00785714285714286
"AC005363.9",2.93
"AC005399.1",0
"AC005517.3",0
"AC005519.4",0.791428571428571
"AC005522.7",0
"AC005523.2",0.00642857142857143
"AC005534.6",0
"AC005534.8",0.256428571428571
"AC005537.2",0.225
"AC005540.3",0.417142857142857
"AC005546.2",0.176428571428571
"AC005562.1",5.25785714285714
"AC005592.1",0.135
"AC005592.2",0.982142857142857
"AC005592.3",0.0935714285714286
"AC005594.3",0.00428571428571429
"AC005606.1",0.107857142857143
"AC005606.14",0.0357142857142857
"AC005609.1",0.229285714285714
"AC005614.3",0.0242857142857143
"AC005616.1",1.285
"AC005616.2",0
"AC005618.1",10.0514285714286
"AC005618.6",0.644285714285714
"AC005624.2",0.145714285714286
"AC005631.1",0
"AC005682.5",6.80714285714286
"AC005682.6",0.00214285714285714
"AC005682.7",0.222142857142857
"AC005682.8",0.00428571428571429
"AC005702.1",0
"AC005702.3",0
"AC005702.4",0
"AC005740.3",0
"AC005740.4",0.0185714285714286
"AC005740.5",0
"AC005754.8",0.0364285714285714
"AC005757.6",0.00928571428571429
"AC005757.7",0.0264285714285714
"AC005775.2",0.0842857142857143
"AC005779.1",0
"AC005786.3",0
"AC005786.5",0.0221428571428571
"AC005786.7",0.0585714285714286
"AC005789.11",0.425714285714286
"AC005795.1",1.04571428571429
"AC005808.3",0
"AC005822.1",0.239285714285714
"AC005831.1",0.0242857142857143
"AC005838.2",0
"AC005863.1",0.000714285714285714
"AC005884.1",0.498571428571429
"AC005943.4",1.11428571428571
"AC005943.5",0.857857142857143
"AC005944.2",0.0157142857142857
"AC005954.4",0
"AC006004.1",0.000714285714285714
"AC006011.4",68.2321428571428
"AC006014.10",0
"AC006014.7",1.22428571428571
"AC006024.4",0.0164285714285714
"AC006026.10",0.0714285714285714
"AC006026.13",0
"AC006026.9",0.0357142857142857
"AC006028.11",0
"AC006042.6",0.0107142857142857
"AC006042.8",0.407857142857143
"AC006111.1",0.00928571428571429
"AC006116.13",0.00928571428571429
"AC006116.17",0.215714285714286
"AC006116.20",1.38285714285714
"AC006116.22",0.0964285714285714
"AC006116.24",0.164285714285714
"AC006116.27",0.106428571428571
"AC006129.2",4.68928571428571
"AC006129.4",3.9
"AC006132.1",3.75714285714286
"AC006160.5",0.295
"AC006262.5",12.0671428571429
"AC006262.6",0.0835714285714286
"AC006273.4",0.122857142857143
"AC006273.5",1.03642857142857
"AC006273.7",0.197857142857143
"AC006277.2",0.233571428571429
"AC006378.2",0
"AC006445.6",0
"AC006445.7",0
"AC006449.1",0.0157142857142857
"AC006460.2",0.0264285714285714
"AC006465.4",0.00428571428571429
"AC006483.1",0
"AC006483.5",0
"AC006486.1",0.259285714285714
"AC006509.7",0
"AC006534.2",0
"AC006538.1",0.388571428571429
"AC006538.4",1.71214285714286
"AC006539.2",0
"AC006547.13",0
"AC006547.15",0
"AC006547.8",0.159285714285714
"AC006946.16",1.08428571428571
"AC006946.17",0.180714285714286
"AC006967.1",0.00357142857142857
"AC006978.6",3.19928571428571
"AC006989.2",0
"AC006994.2",0
"AC006995.8",0.00214285714285714
"AC007000.10",0.107142857142857
"AC007000.11",0
"AC007000.12",0.0921428571428572
"AC007014.1",0.254285714285714
"AC007036.4",0.0642857142857143
"AC007036.6",0.595
"AC007038.7",0.772142857142857
"AC007040.11",0.0335714285714286
"AC007041.2",0.0485714285714286
"AC007050.17",0
"AC007050.18",0.00142857142857143
"AC007078.4",0
"AC007092.1",0.687857142857143
"AC007098.1",0
"AC007099.1",0.0592857142857143
"AC007126.1",0.00428571428571429
"AC007192.6",0.00714285714285714
"AC007193.8",0
"AC007204.2",0.01
"AC007216.2",0
"AC007228.5",0
"AC007228.9",0.0842857142857143
"AC007229.3",1.26428571428571
"AC007238.1",0.646428571428571
"AC007246.3",4.48428571428571
"AC007250.4",0.00428571428571429
"AC007255.8",0.315
"AC007256.5",0.0628571428571429
"AC007271.3",0
"AC007272.1",0
"AC007276.5",0.187142857142857
"AC007277.3",0.0464285714285714
"AC007279.2",0
"AC007283.5",0.0885714285714286
"AC007292.3",0.184285714285714
"AC007292.4",0.0221428571428571
"AC007292.6",0.448571428571429
"AC007308.6",0.000714285714285714
"AC007308.7",0
"AC007318.5",2.86571428571429
"AC007319.1",0.0514285714285714
